prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall initiate quality checking on each data item as soon as that data item becomes available to the QChS.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","17.0","17.0","17.0","10.0","0.6312","0.6555","0.6431","100.0","62.7"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","2","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","12.0","14.0","0.8274","0.8132","0.8202","83.0","62.4"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","3","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","The CAS shall provide the capability to define quality checking rules that are associated with specific environmental parameters.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","42.0","18.0","0.9098","0.8974","0.9036","100.0","73.9"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall apply all quality checking rules defined for a given environmental parameter to the data of that parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","61.0","61.0","61.0","22.0","0.825","0.8335","0.8293","100.0","82.5"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The Configuration & Administration Service shall provide a persistent repository for storing quality checking rule definitions.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","27.0","27.0","18.0","14.0","0.6622","0.6484","0.6552","83.0","63.8"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall be able to retrieve quality checking rule definitions from the Configuration & Administration Service.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","29.0","29.0","19.0","15.0","0.7397","0.7148","0.727","83.0","64.7"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall support quality checking rule definitions that include a condition specifying the environmental situation for which the rule is applicable.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","33.0","24.0","12.0","0.9135","0.9172","0.9153","83.0","66.0"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","8","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The CAS shall support the definition of quality checking rules that include a condition based on observation location identifiers.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","45.0","46.0","45.0","19.0","0.8852","0.8777","0.8814","100.0","75.3"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","9","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The QChS shall evaluate quality checking rules only against data from the observation location specified in the rule.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","18.0","0.5044","0.4931","0.4987","100.0","70.8"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","10","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The QChS shall retrieve historical environmental data from QEDS when performing quality checks.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","48.0","48.0","48.0","23.0","0.9103","0.9069","0.9086","100.0","76.6"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","11","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QEDS","The QEDS shall provide a query interface for historical environmental data to QChS.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","42.0","42.0","32.0","24.0","0.9012","0.9004","0.9008","100.0","38.9"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","12","The Clarus system shall be able to use multiple algorithms for its quality checking process.","","","QChS","The Quality Checking Services (QChS) shall support at least two distinct quality checking algorithms.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","33.0","33.0","22.0","19.0","0.7264","0.7348","0.7306","83.0","66.5"
"cot1","deepseek-v4-flash","clarus","results/experiment/cot1/deepseek_cot1_clarus.json","13","The Clarus system shall allow access to new surface transportation-related environmental data.","","","QEDS","The Qualified Environmental Data Services shall provide an application programming interface that allows retrieval of surface transportation-related environmental data based on the time it was added to the system.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","0.0","0.0","0.0","0.0","0.5116","0.556","0.5329","83.0","51.6"
