prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The QChS shall execute quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6754","0.6896","0.6825","100.0","63.1"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","2","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","3","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall execute quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","74.0","74.0","74.0","42.0","0.9265","0.914","0.9202","100.0","88.3"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","CAS","The CAS shall configure the quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","95.0","95.0","95.0","81.0","0.9702","0.9546","0.9624","100.0","97.8"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The QChS shall execute quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","84.0","84.0","84.0","70.0","0.9669","0.9571","0.9619","100.0","92.8"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The CAS shall manage the configuration of quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","80.0","80.0","80.0","70.0","0.9474","0.9232","0.9351","100.0","91.0"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","7","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The CAS shall support the configuration of quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","78.0","78.0","78.0","66.0","0.9382","0.9137","0.9258","100.0","90.1"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","8","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The QChS shall execute quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","56.0","56.0","56.0","36.0","0.7062","0.6856","0.6958","100.0","80.2"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","9","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The QChS shall retrieve historical environmental data from the QEDS to support the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","57.0","57.0","57.0","26.0","0.9145","0.9165","0.9155","100.0","80.7"
"cot1","gemini-3.5-flash","clarus","results/experiment/cot1/gemini_cot1_clarus.json","10","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QEDS","The QEDS shall provide historical environmental data to the QChS for the quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","60.0","60.0","50.0","29.0","0.9191","0.9189","0.919","100.0","47.0"
