prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Quality Checking Services shall initiate quality checking processes immediately upon receipt of new environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","17.0","17.0","17.0","10.0","0.5171","0.4754","0.4954","83.0","59.3"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","CS","The Collector Services shall notify the Quality Checking Services as soon as new environmental data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","17.0","17.0","17.0","10.0","0.5293","0.5199","0.5246","83.0","24.3"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the methods applied during quality checking.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","13.0","13.0","13.0","14.0","0.8566","0.8342","0.8453","83.0","57.5"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","4","The Clarus system shall record the methods applied when deriving quality checking information.","","","QEDS","The Qualified Environmental Data Services shall store the methods applied during quality checking.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","37.0","39.0","25.0","17.0","0.7448","0.7672","0.7559","83.0","33.3"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The Quality Checking Services shall implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","74.0","74.0","63.0","25.0","0.9211","0.9029","0.9119","83.0","84.9"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","84.0","84.0","74.0","53.0","0.9631","0.947","0.955","83.0","89.4"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QEDS","The Qualified Environmental Data Services shall provide environmental data to the Quality Checking Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","35.0","36.0","24.0","16.0","0.8776","0.8695","0.8735","83.0","32.4"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","8","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","The Quality Checking Services shall apply quality checking rules specific to observation locations during data processing.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","38.0","38.0","38.0","18.0","0.6812","0.6674","0.6742","83.0","68.7"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","9","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","EMC","The Environmental Metadata Cache shall provide observation location metadata to the Quality Checking Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","33.0","33.0","22.0","19.0","0.7055","0.7145","0.7099","83.0","31.5"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","10","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAUI","The Configuration & Administration User Interface shall allow authorized users to define and modify quality checking rules for observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","40.0","42.0","40.0","17.0","0.8545","0.8671","0.8607","83.0","34.6"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","11","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","CAS","The Configuration & Administration Service shall store and manage quality checking rules defined for observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","45.0","46.0","45.0","21.0","0.8947","0.8776","0.8861","83.0","71.9"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","12","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","The Quality Checking Services shall use historical environmental data as a basis for quality checking processes.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","60.0","60.0","40.0","40.0","0.9343","0.9218","0.928","83.0","78.6"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","13","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QEDS","The Qualified Environmental Data Services shall provide historical environmental data to the Quality Checking Services.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","56.0","56.0","44.0","21.0","0.9119","0.9028","0.9073","83.0","41.8"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","14","The Clarus system shall be able to use multiple algorithms for its quality checking process.","","","QChS","The Quality Checking Services shall support the execution of multiple quality checking algorithms.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","25.0","25.0","25.0","17.0","0.7778","0.7655","0.7716","83.0","62.9"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","15","The Clarus system shall be able to use multiple algorithms for its quality checking process.","","","QChS","The Quality Checking Services shall allow the selection of different quality checking algorithms.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","25.0","25.0","25.0","17.0","0.7092","0.7134","0.7113","83.0","62.9"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","16","The Clarus system shall be able to use multiple algorithms for its quality checking process.","","","QChS","The Quality Checking Services shall allow the configuration of different quality checking algorithms.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","25.0","25.0","25.0","17.0","0.7105","0.7159","0.7132","83.0","62.9"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","17","The Clarus system shall allow access to new surface transportation-related environmental data.","","","CS","The Collector Services shall ingest new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","11.0","11.0","11.0","12.0","0.6677","0.7201","0.6929","83.0","56.6"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","18","The Clarus system shall allow access to new surface transportation-related environmental data.","","","QChS","The Quality Checking Services shall validate new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","20.0","20.0","20.0","13.0","0.6739","0.7098","0.6914","83.0","60.6"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","19","The Clarus system shall allow access to new surface transportation-related environmental data.","","","QEDS","The Qualified Environmental Data Services shall store new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","11.0","11.0","11.0","12.0","0.61","0.674","0.6404","83.0","56.6"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","20","The Clarus system shall allow access to new surface transportation-related environmental data.","","","EMS","The Environmental Metadata Services shall provide metadata for new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","8.0","0.6811","0.712","0.6962","83.0","55.7"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","21","The Clarus system shall enable administrators to manage security groups.","","","CAS","The Configuration & Administration Service shall create security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","19.0","0.8503","0.8467","0.8485","83.0","59.7"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","22","The Clarus system shall enable administrators to manage security groups.","","","CAS","The Configuration & Administration Service shall modify security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","19.0","0.7833","0.7916","0.7874","83.0","59.7"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","23","The Clarus system shall enable administrators to manage security groups.","","","CAS","The Configuration & Administration Service shall delete security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","19.0","0.6553","0.6854","0.67","83.0","59.7"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","24","The Clarus system shall enable administrators to manage security groups.","","","CAUI","The Configuration & Administration User Interface shall provide an interface for administrators to create security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","24.0","13.0","0.8404","0.8468","0.8436","83.0","62.4"
"react1","mistral-medium-3.5","clarus","results/experiment/react1/mistral_react1_clarus.json","25","The Clarus system shall enable administrators to manage security groups.","","","CAUI","The Configuration & Administration User Interface shall provide an interface for administrators to modify security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","24.0","13.0","0.8097","0.8187","0.8141","83.0","62.4"
