prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","CS","The Collector Services shall detect when new data becomes available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","29.0","29.0","29.0","15.0","0.7217","0.7311","0.7264","83.0","29.7"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","2","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","The Quality Checking Services shall perform quality checking on data immediately upon detection of data availability.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","9.0","9.0","9.0","8.0","0.6238","0.6382","0.6309","83.0","55.7"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","3","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The Quality Checking Services shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","24.0","24.0","12.0","14.0","0.8274","0.8132","0.8202","83.0","62.4"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The system shall maintain a rule repository that maps each environmental parameter identifier to its corresponding quality checking rule definition.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","32.0","33.0","16.0","13.0","0.8577","0.8695","0.8636","83.0","66.0"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","5","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The system shall validate incoming environmental data against the applicable quality checking rule for the parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","45.0","46.0","36.0","16.0","0.8672","0.8665","0.8668","83.0","71.9"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","6","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The system shall generate a quality check result indicating whether the data meets the rule criteria and include any detected anomalies.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","8.0","8.0","8.0","7.0","0.6912","0.6863","0.6887","83.0","55.2"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","7","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","The Quality Checking Services shall apply defined quality checking rules to environmental data based on specific environmental situation metadata.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","45.0","46.0","36.0","16.0","0.9053","0.9025","0.9039","83.0","71.9"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","8","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","CAS","The Configuration & Administration Service shall enable administrators to define, configure, and manage quality checking rules, including conditions and actions, for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","55.0","58.0","55.0","24.0","0.9124","0.9315","0.9218","83.0","76.4"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","9","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","EMS","The Environmental Metadata Services shall provide accurate and timely metadata describing environmental situations to support the evaluation of quality checking rules.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","42.0","42.0","25.0","18.0","0.8362","0.8541","0.8451","83.0","35.5"
"react1","command-a-plus-05-2026","clarus","results/experiment/react1/cohere_react1_clarus.json","10","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","QChS shall provide an API to define, modify, and delete quality checking rules, each rule specifying criteria and actions for data validation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","29.0","30.0","29.0","13.0","0.6275","0.6091","0.6182","100.0","68.1"
