prompt_type,model,dataset,source_file,source_case_index,high_level_requirement,source_target_allocation,source_target_subsystem,generated_allocation,generated_low_level_requirement,metric_names,allocation_correctness,token_f1_similarity,cosine_similarity,rouge_l,bleu,bert_score_precision,bert_score_recall,bert_score_f1,requirement_quality,combined_score
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","1","The Clarus system shall implement quality checking processes as soon as data become available.","","","QChS","QChS shall implement quality checking processes as soon as data become available.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","18.0","18.0","18.0","9.0","0.6851","0.6972","0.6911","100.0","63.1"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","2","The Clarus system shall record the methods applied when deriving quality checking information.","","","QChS","The QChS shall record the methods applied when deriving quality checking information.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","35.0","35.0","35.0","16.0","0.8414","0.8385","0.84","100.0","70.8"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","3","The Clarus system shall be able to implement quality checking rules for each environmental parameter.","","","QChS","The QChS shall be able to implement quality checking rules for each environmental parameter.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","90.0","90.0","90.0","74.0","0.9473","0.9475","0.9474","100.0","95.5"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","4","The Clarus system shall be able to implement quality checking rules for specific environmental situations.","","","QChS","QChS shall be able to implement quality checking rules for specific environmental situations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","5","The Clarus system shall be able to implement quality checking rules specific to observation locations.","","","QChS","QChS shall be able to implement quality checking rules specific to observation locations.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","74.0","74.0","74.0","47.0","0.7313","0.7067","0.7188","100.0","88.3"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","6","The Clarus system shall be able to base its quality checking process on historical environmental data.","","","QChS","QChS shall be able to base its quality checking process on historical environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","70.0","70.0","50.0","31.0","0.9547","0.9549","0.9548","100.0","86.5"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","7","The Clarus system shall be able to use multiple algorithms for its quality checking process.","","","QChS","QChS shall be able to use multiple algorithms for its quality checking process.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","42.0","42.0","42.0","18.0","0.7886","0.799","0.7938","100.0","73.9"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","8","The Clarus system shall allow access to new surface transportation-related environmental data.","","","QEDS","QEDS shall allow access to new surface transportation-related environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","22.0","22.0","22.0","14.0","0.6846","0.726","0.7047","100.0","64.9"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","9","The Clarus system shall enable administrators to manage security groups.","","","CAUI","The CAUI shall provide user interfaces that enable administrators to manage security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","59.0","60.0","59.0","36.0","0.8998","0.9141","0.9069","100.0","81.6"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","10","The Clarus system shall enable administrators to manage security groups.","","","CAS","The CAS shall process administrative requests to manage security groups.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","40.0","40.0","40.0","22.0","0.8874","0.8868","0.8871","100.0","73.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","11","The Clarus system shall be able to restrict environmental data publication based on source.","","","CAS","CAS shall manage the configuration of environmental data publication restrictions based on the data source.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","40.0","41.0","40.0","16.0","0.6871","0.7011","0.6941","100.0","73.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","12","The Clarus system shall be able to restrict environmental data publication based on source.","","","QEDS","QEDS shall restrict the publication of environmental data based on the data source configuration.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","14.0","14.0","14.0","14.0","0.3626","0.3685","0.3655","100.0","61.3"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","13","The Clarus system shall record statistics about its operation.","","","CAS","CAS shall record statistics about Clarus system operation.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","92.0","93.0","92.0","59.0","0.8929","0.9211","0.9068","100.0","96.4"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","14","The Clarus system shall log data transactions.","","","CS","The CS shall log data transactions.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","40.0","44.0","40.0","13.0","0.7388","0.6703","0.7029","100.0","73.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","15","The Clarus system shall acquire, process, and disseminate environmental metadata.","","","EMS","The EMS shall acquire environmental metadata.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","15.0","17.0","15.0","9.0","0.6424","0.5995","0.6202","100.0","61.8"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","16","The Clarus system shall acquire, process, and disseminate environmental metadata.","","","EMS","The EMS shall process environmental metadata.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","15.0","17.0","15.0","9.0","0.6404","0.594","0.6163","100.0","61.8"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","17","The Clarus system shall acquire, process, and disseminate environmental metadata.","","","EMS","The EMS shall disseminate environmental metadata.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","15.0","17.0","15.0","9.0","0.6316","0.596","0.6133","100.0","61.8"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","18","The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.","","","EMS","EMS shall manage environmental metadata according to the Clarus data sharing agreements.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","47.0","47.0","47.0","20.0","0.7065","0.7572","0.731","100.0","41.2"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","19","The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.","","","QEDS","QEDS shall manage environmental data according to the Clarus data sharing agreements.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","50.0","50.0","50.0","20.0","0.6773","0.7353","0.7051","100.0","42.5"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","20","The Clarus system shall collect, quality check, and disseminate environmental data.","","","CS","CS shall collect environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","60.0","65.0","60.0","26.0","0.9226","0.8688","0.8949","100.0","82.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","21","The Clarus system shall collect, quality check, and disseminate environmental data.","","","QChS","QChS shall quality check environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","0.9907","0.9836","0.9871","100.0","100.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","22","The Clarus system shall collect, quality check, and disseminate environmental data.","","","QEDS","QEDS shall disseminate environmental data.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","100.0","100.0","100.0","100.0","100.0","1.0","1.0","1.0","100.0","100.0"
"rag1","gemini-3.5-flash","clarus","results/experiment/rag1/gemini_rag1_clarus.json","23","The Clarus system shall provide environmental data quality flags.","","","QEDS","The QEDS shall provide environmental data quality flags.","allocation_correctness|token_f1_similarity|cosine_similarity|rouge_l|bleu|bert_score_precision|bert_score_recall|bert_score_f1|requirement_quality|combined_score","0.0","27.0","27.0","27.0","14.0","0.677","0.6863","0.6816","100.0","32.2"
